unified_index,length,source,clan,dswp_nn_dist,pred_codatype,pred_centroid_dist,runner_up_dist,margin
31089,3,hersh2022_pacific,SH,0.01140175425099139,3D,0.054279378088466765,0.15860175031478385,0.10432237222631709
31090,3,hersh2022_pacific,SH,0.0019375627628544047,3D,0.03832427327081779,0.11029734545485202,0.07197307218403423
31091,3,hersh2022_pacific,SH,0.00824621125123533,3D,0.05295633196801674,0.1636494976730064,0.11069316570498966
31092,3,hersh2022_pacific,SH,0.009486832980505146,3D,0.07984082404404023,0.11734970823125492,0.03750888418721468
31095,3,hersh2022_pacific,SH,0.009486832980505146,3D,0.04860947880746122,0.157042115137063,0.10843263632960179
31096,3,hersh2022_pacific,SH,0.01304055786613442,3D,0.05112368634344436,0.10077324529242826,0.0496495589489839
31098,3,hersh2022_pacific,SH,0.019849433241279205,3D,0.0596137615350621,0.1504426755660922,0.0908289140310301
31099,3,hersh2022_pacific,SH,0.010440306508910552,3D,0.04822836686968191,0.13578085415585656,0.08755248728617465
31100,3,hersh2022_pacific,SH,0.009486832980505146,3D,0.04860947880746122,0.157042115137063,0.10843263632960179
31102,3,hersh2022_pacific,SH,0.0050000000000000044,3D,0.040995656032555214,0.16378596789439417,0.12279031186183896
31104,3,hersh2022_pacific,SH,0.04464302857109941,3D,0.08863196587120982,0.15549328906988294,0.06686132319867312
31106,3,hersh2022_pacific,SH,0.011661903789690611,3D,0.039972911652750506,0.1571346593668679,0.1171617477141174
31108,3,hersh2022_pacific,SH,0.015264337522473762,3D,0.054289389270004415,0.15266911180114703,0.09837972253114262
31110,3,hersh2022_pacific,SH,0.0008683961365644177,3D,0.01773663413922646,0.1325346491087782,0.11479801496955175
31112,3,hersh2022_pacific,SH,0.05727128425310541,3D,0.10023331936985934,0.13947623683268873,0.03924291746282939
31113,3,hersh2022_pacific,SH,0.019849433241279225,3D,0.061135870507582575,0.15239674481918722,0.09126087431160465
31114,3,hersh2022_pacific,SH,0.0009290346871888098,3D,0.024527752841245636,0.13089797202804035,0.1063702191867947
31115,3,hersh2022_pacific,SH,0.027018512172212617,3D,0.06550152657786977,0.14038462479596375,0.07488309821809398
31116,3,hersh2022_pacific,SH,0.005385164807134509,3D,0.023484996824242235,0.16418355335839588,0.14069855653415364
31117,3,hersh2022_pacific,SH,0.011738612358366703,3D,0.03842461626159798,0.17030682385765464,0.13188220759605665
31118,3,hersh2022_pacific,SH,0.05000999900019994,3D,0.09843942283271435,0.1273952123756869,0.02895578954297255
31119,3,hersh2022_pacific,SH,0.010000000000000009,3D,0.042979488822474654,0.13468430421883998,0.09170481539636532
31120,3,hersh2022_pacific,SH,0.009055385138137396,3D,0.03594691970795834,0.16648934604283297,0.13054242633487462
31121,3,hersh2022_pacific,SH,0.05000999900019994,3D,0.09419371007035583,0.13599706373951675,0.04180335366916092
31125,3,hersh2022_pacific,SH,0.010770329614268992,3D,0.03530302035699593,0.17158480478027321,0.1362817844232773
31126,3,hersh2022_pacific,SH,0.001239644033583842,3D,0.015141442763139468,0.13595492350007327,0.12081348073693379
31127,3,hersh2022_pacific,SH,0.007300000000000001,3R,0.04105656023337178,0.11052887454697793,0.06947231431360615
31133,3,hersh2022_pacific,SH,0.010933241342346762,3D,0.03854918374801137,0.15547196523599233,0.11692278148798096
31134,3,hersh2022_pacific,SH,0.006403124237432854,3D,0.040059290612281855,0.16292930577125625,0.12287001515897439
31135,3,hersh2022_pacific,SH,0.0026859168751098535,3D,0.035837484274337236,0.11421762517274313,0.07838014089840589
31136,3,hersh2022_pacific,SH,0.006359521994615641,3D,0.03158006364934946,0.16246873939639475,0.1308886757470453
31137,3,hersh2022_pacific,SH,0.0013105464203911213,3D,0.030838189924213978,0.11798796889879558,0.0871497789745816
31139,3,hersh2022_pacific,SH,0.0050000000000000044,3D,0.04205394681891079,0.16266597283143994,0.12061202601252916
31140,3,hersh2022_pacific,SH,0.0040000000000000036,3D,0.018630834052022833,0.15795721929900094,0.1393263852469781
31141,3,hersh2022_pacific,SH,0.019209372712298563,3D,0.06094750095414882,0.15339661799543317,0.09244911704128435
31144,3,hersh2022_pacific,SH,0.0016929063529918104,3D,0.03268504917801267,0.1150653713789576,0.08238032220094493
31145,3,hersh2022_pacific,SH,0.016155494421403502,3D,0.05283506117105775,0.1508114335789934,0.09797637240793566
31146,3,hersh2022_pacific,SH,0.01029563014098701,3D,0.05058328882765084,0.15687092134878852,0.10628763252113768
31147,3,hersh2022_pacific,SH,0.011704699910719636,3D,0.049957670578252074,0.15496079111783542,0.10500312053958336
31148,3,hersh2022_pacific,SH,0.0068948071945486656,3D,0.03270448303002045,0.1602931695454084,0.12758868651538796
31149,3,hersh2022_pacific,SH,0.0028284271247461927,3D,0.017416277399536925,0.1554645152135285,0.13804823781399156
31150,3,hersh2022_pacific,SH,0.0011267578488743742,3D,0.011370513798038934,0.14626915345513627,0.13489863965709734
31151,3,hersh2022_pacific,SH,0.002838940515403584,3D,0.014180362562080296,0.14762641735170995,0.13344605478962965
31152,3,hersh2022_pacific,SH,0.0016323551237399235,3D,0.012774413223773571,0.1469425471954659,0.13416813397169233
31153,3,hersh2022_pacific,SH,0.0020991863304623487,3D,0.01339419180821778,0.1444674514837044,0.13107325967548664
31154,3,hersh2022_pacific,SH,0.008489968565901755,3D,0.030096650493312935,0.16460455184662215,0.1345079013533092
31155,3,hersh2022_pacific,SH,0.005447913775015168,3D,0.02348568019443601,0.16274423180504902,0.139258551610613
31156,3,hersh2022_pacific,SH,0.004123105625617665,3D,0.018923825916290795,0.15766702153923512,0.13874319562294432
31158,3,hersh2022_pacific,SH,0.005998215005316162,3D,0.01693420828562411,0.15025008075461363,0.13331587246898952
31159,3,hersh2022_pacific,SH,0.0025413134910907726,3D,0.02216153551003491,0.15580030663551436,0.13363877112547945
31163,3,hersh2022_pacific,SH,0.04684015371452152,3D,0.08944210020426294,0.13823149066850454,0.048789390464241605
31164,3,hersh2022_pacific,SH,0.03275667870831843,3D,0.07206043893455837,0.14048755465320353,0.06842711571864517
31165,3,hersh2022_pacific,SH,0.0061912454320596855,3D,0.0246875317392333,0.16342316821560235,0.13873563647636905
31166,3,hersh2022_pacific,SH,0.06354132193439165,3D,0.11354879388997238,0.14032835474618158,0.026779560856209195
31168,3,hersh2022_pacific,SH,0.004591795209936944,3D,0.007183135561188484,0.14431328587851372,0.13713015031732523
31169,3,hersh2022_pacific,SH,0.0008456127364225416,3D,0.018385038030302246,0.12894520222285016,0.11056016419254791
31170,3,hersh2022_pacific,SH,0.039560080889705,3D,0.08352021308562044,0.13527573957365288,0.051755526488032444
31171,3,hersh2022_pacific,SH,0.059,3D,0.1071044411399463,0.12868160601547746,0.021577164875531157
31172,3,hersh2022_pacific,SH,0.052345009313209595,3D,0.09838253755370806,0.132712369729063,0.03432983217535494
31173,3,hersh2022_pacific,SH,0.06007495318350235,3D,0.10692644565659461,0.13184213851658858,0.024915692859993968
31174,3,hersh2022_pacific,SH,0.017000000000000015,3D,0.06409413436065127,0.1315875052436453,0.06749337088299402
31175,3,hersh2022_pacific,SH,0.0028284271247461927,3D,0.016711917915811857,0.15929951934016,0.14258760142434815
31176,3,hersh2022_pacific,SH,0.05959172587843047,3D,0.11477548643186275,0.13340028133424567,0.01862479490238292
31177,3,hersh2022_pacific,SH,0.06200806399170998,3D,0.10951276656065753,0.1305185824502312,0.021005815889573676
31178,3,hersh2022_pacific,SH,0.002403898454594128,3D,0.02120872795356776,0.12984826579000844,0.10863953783644067
31179,3,hersh2022_pacific,SH,0.06200806399170998,3D,0.10951276656065753,0.1305185824502312,0.021005815889573676
31180,3,hersh2022_pacific,SH,0.06152177991768444,3D,0.11103617969123761,0.12671259622077152,0.015676416529533915
31181,3,hersh2022_pacific,SH,0.01140175425099139,3D,0.04897831163138324,0.1550506909524037,0.10607237932102045
31182,3,hersh2022_pacific,SH,0.004472135954999584,3D,0.05875548117101876,0.12672534806031616,0.0679698668892974
31183,3,hersh2022_pacific,SH,0.03807886552931958,3D,0.08333502105868247,0.133176148526102,0.04984112746741952
31185,3,hersh2022_pacific,SH,0.0030000000000000027,3D,0.03297082794694118,0.14963353613493993,0.11666270818799876
31186,3,hersh2022_pacific,SH,0.003477748110487585,3D,0.028875221672817527,0.12016170353044826,0.09128648185763073
31187,3,hersh2022_pacific,SH,0.0038442098615970527,3D,0.04204603336506691,0.10857297201643788,0.06652693865137096
31188,3,hersh2022_pacific,SH,0.0009553870943235558,3D,0.018946919740104127,0.16044154928881885,0.14149462954871472
31189,3,hersh2022_pacific,SH,0.05966419868095104,3D,0.11184376058034116,0.12481415336052046,0.012970392780179293
31190,3,hersh2022_pacific,SH,0.003054294898990612,3D,0.018001683175363065,0.13712418322057845,0.1191225000452154
31191,3,hersh2022_pacific,SH,0.04687216658103184,3D,0.09943194915066393,0.11677959689317348,0.017347647742509548
31192,3,hersh2022_pacific,SH,0.002236067977499792,3D,0.016441322603410705,0.1563457573247019,0.13990443472129122
31193,3,hersh2022_pacific,SH,0.018384776310850254,3D,0.05989395987854718,0.13670327136873148,0.0768093114901843
31194,3,hersh2022_pacific,SH,0.004423207490046099,3D,0.023967857104783555,0.16487904399201342,0.14091118688722987
31195,3,hersh2022_pacific,SH,0.006163001156092701,3D,0.017773012985669297,0.14877116488117328,0.13099815189550398
31196,3,hersh2022_pacific,SH,0.05360037313302957,3D,0.10507127389132635,0.1193571906707669,0.01428591677944055
31197,3,hersh2022_pacific,SH,0.011419096483522675,3D,0.03096312402851428,0.16833837005116947,0.1373752460226552
31198,3,hersh2022_pacific,SH,0.046173585522460765,3D,0.09357218731957201,0.1295387347588089,0.035966547439236884
31199,3,hersh2022_pacific,SH,0.029832867780352604,3D,0.07029029889293123,0.14648303826092338,0.07619273936799215
31200,3,hersh2022_pacific,SH,0.018601075237738268,3D,0.057671595137213996,0.15051491153167929,0.09284331639446529
31201,3,hersh2022_pacific,SH,0.0010362269297793986,3D,0.02910500256305302,0.15741738081884546,0.12831237825579245
31204,3,hersh2022_pacific,SH,0.06190387709990386,3D,0.10129153833430399,0.09430089640086148,-0.00699064193344251
31205,3,hersh2022_pacific,SH,0.021400934559032716,3D,0.05813174063519243,0.1406940038762227,0.08256226324103026
31207,3,hersh2022_pacific,SH,0.0024002097012552825,3D,0.02424162157980123,0.12235948105832728,0.09811785947852605
31208,3,hersh2022_pacific,SH,0.0037879818650569013,3D,0.024444902658808283,0.12306619978155121,0.09862129712274292
