cluster_label,n_clicks,n_members,cluster_mean_dist_to_centroid,nearest_sharma_type,sharma_mean_dist_to_centroid,variance_ratio,flag_collapse
P5c10,5,14,0.007502500021703873,5R1,0.0173394404842135,0.4326840896933462,False
P5c11,5,22,0.026230431525528997,5R2,0.0205381693357925,1.2771552856863644,False
P5c12,5,17,0.028770755475112535,2+3,0.0366611150839791,0.7847757878942789,False
P5c13,5,21,0.04097363341260044,2+3,0.0366611150839791,1.1176319465117937,False
P5c14,5,25,0.02851619814942525,2+3,0.0366611150839791,0.7778322640788092,False
P5c15,5,11,0.02817799422089092,5R1,0.0173394404842135,1.6250809388310574,False
P5c16,5,42,0.03981670088416916,5R3,0.0607679071391222,0.6552258051772739,False
P5c17,5,19,0.01507407738261446,5R3,0.0607679071391222,0.2480598409963968,False
P5c18,5,58,0.031352680754792445,2+3,0.0366611150839791,0.8552025949830849,False
P5c19,5,285,0.03706795187345661,5R3,0.0607679071391222,0.6099922412761911,False
P5c2,5,17,0.04624391945107979,5R1,0.0173394404842135,2.6669787582351376,True
P5c20,5,74,0.0354734353377568,5R2,0.0205381693357925,1.7271955819322296,False
P5c21,5,14,0.029653282133380487,5R3,0.0607679071391222,0.48797603092520836,False
P5c22,5,20,0.03320965705827512,5R3,0.0607679071391222,0.5464999309955639,False
P5c23,5,68,0.06472385507780597,5R3,0.0607679071391222,1.0650992954163618,False
P5c24,5,24,0.02679272834553856,5R3,0.0607679071391222,0.44090260150311283,False
P5c3,5,54,0.0546943765821274,5R3,0.0607679071391222,0.9000536493203551,False
P5c4,5,11,0.039846983358674606,5R3,0.0607679071391222,0.6557241352322505,False
P5c5,5,28,0.07123773378589233,5R3,0.0607679071391222,1.1722920393292546,False
P5c6,5,15,0.042920590538716434,5R3,0.0607679071391222,0.7063035829167841,False
P5c7,5,15,0.02792316249547092,2+3,0.0366611150839791,0.7616561152465691,False
P5c8,5,35,0.025997742673232203,5R1,0.0173394404842135,1.4993414981816489,False
P6c1,6,19,0.0415132772271307,6R,0.0853421635892806,0.48643338159222593,False
P6c10,6,93,0.035788246524425756,6R,0.0853421635892806,0.41935011979144315,False
P6c11,6,16,0.048906977867057486,6R,0.0853421635892806,0.5730693459147367,False
P6c2,6,15,0.026638302688908887,6R,0.0853421635892806,0.31213531001052325,False
P6c3,6,44,0.053066861987330724,6R,0.0853421635892806,0.621812943983016,False
P6c4,6,20,0.04069539947240385,6R,0.0853421635892806,0.4768498683517721,False
P6c5,6,299,0.059283906993406875,6R,0.0853421635892806,0.69466140182147,False
P6c6,6,15,0.03555749462473347,6i,0.053256748659589,0.6676617615546317,False
P6c7,6,18,0.022171727213533287,6R,0.0853421635892806,0.259798044495771,False
P6c8,6,10,0.02787359843078701,6i,0.053256748659589,0.5233815268925228,False
P6c9,6,46,0.042873102423648266,6i,0.053256748659589,0.8050266586435495,False
P7c1,7,28,0.031948610374250105,7i,0.0562746762325679,0.567726240524516,False
P7c10,7,15,0.03702259429437159,7R,0.0595543365348204,0.6216607630701269,False
P7c11,7,20,0.051507981583709006,7R,0.0595543365348204,0.8648905282253152,False
P7c12,7,34,0.06627845414915445,7R,0.0595543365348204,1.1129072709995278,False
P7c13,7,22,0.08122387854093041,7R,0.0595543365348204,1.3638616978536937,False
